Name,Type,Calories,Proteins,Fats,Carbs,Meal_Type,Category
Oatmeal,Veg,143,5,2,27,Breakfast,Complete
Scrambled Eggs,Non-Veg,190,14,14,1,Breakfast,Complete
Idli Sambar,Veg,183,6,1,33,Breakfast,Complete
Poha,Veg,205,4,7,31,Breakfast,Complete
Avocado Toast,Veg,237,6,17,20,Breakfast,Complete
Masala Dosa,Veg,342,7,11,47,Breakfast,Complete
Aloo Paratha,Veg,291,8,15,40,Breakfast,Complete
Upma,Veg,172,3,5,31,Breakfast,Complete
Besan Chilla,Veg,224,9,8,24,Breakfast,Complete
Paneer Paratha,Veg,304,12,16,34,Breakfast,Complete
Moong Dal Cheela,Veg,200,12,6,28,Breakfast,Complete
Veg Grilled Sandwich,Veg,270,7,9,40,Breakfast,Complete
Methi Thepla,Veg,208,4,8,28,Breakfast,Complete
Vermicelli Upma,Veg,218,4,7,34,Breakfast,Complete
Rava Idli,Veg,161,5,3,24,Breakfast,Complete
Oats Pancake,Veg,231,8,7,32,Breakfast,Complete
Egg Bhurji + Toast,Non-Veg,288,16,17,19,Breakfast,Complete
Cheese Omelette,Non-Veg,330,17,22,4,Breakfast,Complete
Muesli with Milk,Veg,286,10,6,46,Breakfast,Complete
Sabudana Khichdi,Veg,351,3,14,53,Breakfast,Complete
Paneer Butter Masala,Veg,288,11,25,9,Lunch,Gravy
Paneer Butter Masala,Veg,300,11,26,10,Dinner,Gravy
Dal Makhani,Veg,293,9,14,19,Lunch,Gravy
Dal Makhani,Veg,293,9,14,19,Dinner,Gravy
Chana Masala,Veg,213,11,7,30,Lunch,Gravy
Chana Masala,Veg,226,12,7,29,Dinner,Gravy
Palak Paneer,Veg,260,13,20,8,Lunch,Gravy
Palak Paneer,Veg,271,13,19,7,Dinner,Gravy
Chicken Curry,Non-Veg,285,24,17,5,Lunch,Gravy
Chicken Curry,Non-Veg,301,25,17,4,Dinner,Gravy
Butter Chicken,Non-Veg,347,27,21,7,Lunch,Gravy
Butter Chicken,Non-Veg,348,26,21,8,Dinner,Gravy
Fish Curry,Non-Veg,269,24,14,5,Lunch,Gravy
Fish Curry,Non-Veg,286,25,14,4,Dinner,Gravy
Egg Curry,Non-Veg,230,12,16,5,Lunch,Gravy
Egg Curry,Non-Veg,215,11,15,5,Dinner,Gravy
Kadai Vegetable,Veg,179,5,10,15,Lunch,Gravy
Kadai Vegetable,Veg,171,4,9,15,Dinner,Gravy
Rajma Masala,Veg,233,10,7,30,Lunch,Gravy
Rajma Masala,Veg,233,9,8,31,Dinner,Gravy
Mutter Paneer,Veg,271,11,18,12,Lunch,Gravy
Mutter Paneer,Veg,273,11,18,12,Dinner,Gravy
Malai Kofta,Veg,334,8,22,18,Lunch,Gravy
Malai Kofta,Veg,304,8,21,17,Dinner,Gravy
Bhindi Masala,Veg,145,3,8,12,Lunch,Dry
Bhindi Masala,Veg,154,3,7,12,Dinner,Dry
Aloo Gobi,Veg,181,4,8,20,Lunch,Dry
Aloo Gobi,Veg,176,4,9,19,Dinner,Dry
Chicken Stir Fry,Non-Veg,260,25,9,7,Lunch,Dry
Chicken Stir Fry,Non-Veg,247,24,10,8,Dinner,Dry
Jeera Aloo,Veg,165,3,8,22,Lunch,Dry
Jeera Aloo,Veg,162,2,7,22,Dinner,Dry
Baingan Bharta,Veg,134,3,6,15,Lunch,Dry
Baingan Bharta,Veg,136,2,5,15,Dinner,Dry
Mix Veg,Veg,175,3,7,18,Lunch,Dry
Mix Veg,Veg,176,3,8,17,Dinner,Dry
Vegetable Biryani,Veg,361,8,11,48,Lunch,Complete
Vegetable Biryani,Veg,335,7,11,48,Dinner,Complete
Chicken Biryani,Non-Veg,466,24,18,43,Lunch,Complete
Chicken Biryani,Non-Veg,467,25,17,45,Dinner,Complete
Rice and Dal,Veg,306,9,4,51,Lunch,Complete
Rice and Dal,Veg,299,10,5,48,Dinner,Complete
Khichdi,Veg,253,7,6,41,Lunch,Complete
Khichdi,Veg,244,7,5,41,Dinner,Complete
Pasta Arrabbiata,Veg,346,9,11,54,Lunch,Complete
Pasta Arrabbiata,Veg,360,10,12,53,Dinner,Complete
Grilled Chicken Salad,Non-Veg,307,31,9,15,Lunch,Complete
Grilled Chicken Salad,Non-Veg,298,28,9,14,Dinner,Complete
Curd Rice,Veg,212,5,8,36,Lunch,Complete
Curd Rice,Veg,229,5,8,34,Dinner,Complete
Veg Pulao,Veg,206,3,5,35,Lunch,RiceSide
Veg Pulao,Veg,192,3,5,33,Dinner,RiceSide
Jeera Rice,Veg,180,2,5,33,Lunch,RiceSide
Jeera Rice,Veg,188,3,5,33,Dinner,RiceSide
Peas Pulao,Veg,185,4,5,35,Lunch,RiceSide
Peas Pulao,Veg,190,4,5,34,Dinner,RiceSide
Ghee Rice,Veg,209,1,9,28,Lunch,RiceSide
Ghee Rice,Veg,222,1,10,29,Dinner,RiceSide
Greek Yogurt,Veg,97,9,0,15,Snack,Snack
Almonds (Handful),Veg,158,5,13,5,Snack,Snack
Fruit Salad,Veg,121,1,0,30,Snack,Snack
Chickpea Salad,Veg,208,9,7,25,Snack,Snack
Roasted Makhana,Veg,103,2,0,20,Snack,Snack
Sprouts Salad,Veg,146,8,1,25,Snack,Snack
Corn Chaat,Veg,172,5,2,34,Snack,Snack
Vegetable Sandwich,Veg,240,7,7,36,Snack,Snack
Boiled Eggs (2),Non-Veg,144,11,10,0,Snack,Snack
Protein Smoothie,Veg,198,19,3,24,Snack,Snack
Dhokla,Veg,159,5,3,25,Snack,Snack
Cucumber Raita,Veg,76,3,3,7,Side,Side
Boondi Raita,Veg,123,2,5,11,Side,Side
Green Salad,Veg,48,0,0,10,Side,Side
Buttermilk (Chaas),Veg,61,2,2,7,Side,Beverage
Lassi (Sweet),Veg,196,5,7,28,Side,Beverage
Masala Chai,Veg,97,1,2,14,Side,Beverage
Green Tea,Veg,4,0,0,1,Side,Beverage
Oatmeal,Veg,156,5,3,27,Breakfast,Complete
Scrambled Eggs,Non-Veg,193,13,14,1,Breakfast,Complete
Idli Sambar,Veg,185,5,1,34,Breakfast,Complete
Poha,Veg,201,4,8,29,Breakfast,Complete
Avocado Toast,Veg,240,5,17,20,Breakfast,Complete
Masala Dosa,Veg,353,7,12,50,Breakfast,Complete
Aloo Paratha,Veg,301,7,14,41,Breakfast,Complete
Upma,Veg,183,4,5,28,Breakfast,Complete
Besan Chilla,Veg,228,9,7,25,Breakfast,Complete
Paneer Paratha,Veg,306,12,16,34,Breakfast,Complete
Moong Dal Cheela,Veg,190,12,5,28,Breakfast,Complete
Veg Grilled Sandwich,Veg,272,8,10,40,Breakfast,Complete
Methi Thepla,Veg,192,5,8,27,Breakfast,Complete
Vermicelli Upma,Veg,226,5,7,35,Breakfast,Complete
Rava Idli,Veg,160,6,4,24,Breakfast,Complete
Oats Pancake,Veg,236,8,7,31,Breakfast,Complete
Egg Bhurji + Toast,Non-Veg,302,15,18,19,Breakfast,Complete
Cheese Omelette,Non-Veg,334,18,21,4,Breakfast,Complete
Muesli with Milk,Veg,269,10,6,45,Breakfast,Complete
Sabudana Khichdi,Veg,338,2,14,56,Breakfast,Complete
Paneer Butter Masala,Veg,299,11,25,9,Lunch,Gravy
Paneer Butter Masala,Veg,296,12,24,10,Dinner,Gravy
Dal Makhani,Veg,276,9,14,19,Lunch,Gravy
Dal Makhani,Veg,284,9,15,19,Dinner,Gravy
Chana Masala,Veg,230,12,8,30,Lunch,Gravy
Chana Masala,Veg,217,11,7,31,Dinner,Gravy
Palak Paneer,Veg,263,14,20,8,Lunch,Gravy
Palak Paneer,Veg,272,13,19,7,Dinner,Gravy
Chicken Curry,Non-Veg,298,25,17,4,Lunch,Gravy
Chicken Curry,Non-Veg,309,24,17,4,Dinner,Gravy
Butter Chicken,Non-Veg,339,26,21,7,Lunch,Gravy
Butter Chicken,Non-Veg,343,27,22,8,Dinner,Gravy
Fish Curry,Non-Veg,283,24,14,5,Lunch,Gravy
Fish Curry,Non-Veg,288,24,15,4,Dinner,Gravy
Egg Curry,Non-Veg,221,12,16,5,Lunch,Gravy
Egg Curry,Non-Veg,209,11,15,5,Dinner,Gravy
Kadai Vegetable,Veg,187,4,9,14,Lunch,Gravy
Kadai Vegetable,Veg,176,4,9,14,Dinner,Gravy
Rajma Masala,Veg,246,10,7,31,Lunch,Gravy
Rajma Masala,Veg,238,9,7,29,Dinner,Gravy
Mutter Paneer,Veg,273,11,17,12,Lunch,Gravy
Mutter Paneer,Veg,264,10,18,12,Dinner,Gravy
Malai Kofta,Veg,310,8,21,18,Lunch,Gravy
Malai Kofta,Veg,312,7,21,17,Dinner,Gravy
Bhindi Masala,Veg,145,3,8,11,Lunch,Dry
